0.003	INDEF	INDEF	0.668
0.003	INDEF	INDEF	4.056
0.004	INDEF	INDEF	5.995
0.004	INDEF	INDEF	INDEF
0.004	1.874	INDEF	INDEF
0.004	INDEF	INDEF	INDEF
0.004	7.282	INDEF	INDEF
0.004	0.949	INDEF	0.478
0.004	INDEF	INDEF	2.387
0.004	0.858	INDEF	INDEF
0.004	INDEF	2.119	1.643
0.004	INDEF	INDEF	INDEF
0.004	16.523	INDEF	INDEF
0.004	INDEF	0.705	INDEF
0.003	3.71	INDEF	INDEF
0.003	0.709	2.303	2.251
0.003	INDEF	INDEF	INDEF
0.004	2.358	INDEF	0.962
0.003	INDEF	0.38	1.167
