counter,frame,x,y,w,h
2,424,403,21,12,10
1,425,321,14,12,10
2,425,405,18,12,10
1,426,323,14,12,10
2,426,406,18,12,10
1,427,321,17,12,10
2,427,404,20,12,10
1,428,321,15,12,10
2,428,405,19,12,10
1,429,323,13,12,10
2,429,406,17,12,10
1,430,320,16,12,10
2,430,404,20,12,10
1,431,323,16,12,10
2,431,406,20,12,10
1,432,323,14,12,10
2,432,406,18,12,10
1,433,320,13,12,10
2,433,404,18,12,10
1,434,323,16,12,10
2,434,407,20,12,10
1,435,324,16,12,10
2,435,407,20,12,10
1,436,323,17,12,10
2,436,406,21,12,10
1,437,322,16,12,10
2,437,410,20,12,10
1,438,323,16,12,10
2,438,410,20,12,10
1,439,321,16,12,10
2,439,410,21,12,10
1,440,323,15,12,10
2,440,411,20,12,10
1,441,323,16,12,10
2,441,410,21,12,10
1,442,320,16,12,10
2,442,408,21,12,10
1,443,324,15,12,10
2,443,408,20,12,10
1,444,325,14,12,10
2,444,409,19,12,10
1,445,323,17,12,10
2,445,408,22,12,10
1,446,324,19,12,10
2,446,408,24,12,10
1,447,324,17,12,10
2,447,408,21,12,10
1,448,326,15,12,10
2,448,409,21,12,10
1,449,326,19,12,10
2,449,410,23,12,10
1,450,323,20,12,10
2,450,408,25,12,10
1,451,325,17,12,10
2,451,410,22,12,10
1,452,326,17,12,10
2,452,410,22,12,10
1,453,326,20,12,10
2,453,410,25,12,10
1,454,326,19,12,10
2,454,410,23,12,10
1,455,326,19,12,10
2,455,411,23,12,10
1,456,326,20,12,10
2,456,410,23,12,10
1,457,327,20,12,10
2,457,412,24,12,10
1,458,326,20,12,10
2,458,411,23,12,10
1,459,325,20,12,10
2,459,410,23,12,10
1,460,325,19,12,10
2,460,410,22,12,10
1,461,327,19,12,10
2,461,412,22,12,10
1,462,326,21,12,10
2,462,410,22,12,10
1,463,326,21,12,10
2,463,412,23,12,10
1,464,328,22,12,10
2,464,412,24,12,10
1,465,326,22,12,10
2,465,412,24,12,10
1,466,328,22,12,10
2,466,413,23,12,10
1,467,328,23,12,10
2,467,413,24,12,10
1,468,327,25,12,10
2,468,413,26,12,10
1,469,329,23,12,10
2,469,413,24,12,10
1,470,327,25,12,10
2,470,413,25,12,10
1,471,328,23,12,10
2,471,414,24,12,10
1,472,327,23,12,10
2,472,415,24,12,10
1,473,328,25,12,10
2,473,417,26,12,10
1,474,329,26,12,10
2,474,418,27,12,10
1,475,328,27,12,10
2,475,417,27,12,10
1,476,327,26,12,10
2,476,416,26,12,10
1,477,327,25,12,10
2,477,417,26,12,10
1,478,328,28,12,10
2,478,417,29,12,10
1,479,330,28,12,10
2,479,416,28,12,10
1,480,331,25,12,10
2,480,417,26,12,10
1,481,329,26,12,10
2,481,415,27,12,10
1,482,331,28,12,10
2,482,417,28,12,10
1,483,333,26,12,10
2,483,419,27,12,10
1,484,330,26,12,10
2,484,416,27,12,10
1,485,331,27,12,10
2,485,417,28,12,10
1,486,333,28,12,10
2,486,419,29,12,10
1,487,331,29,12,10
2,487,418,29,12,10
1,488,331,27,12,10
2,488,417,28,12,10
1,489,335,27,12,10
2,489,420,28,12,10
1,490,331,28,12,10
2,490,418,29,12,10
1,491,332,28,12,10
2,491,419,29,12,10
1,492,333,29,12,10
2,492,419,29,12,10
1,493,332,28,12,10
2,493,418,30,12,10
1,494,334,28,12,10
2,494,420,29,12,10
1,495,334,29,12,10
2,495,421,30,12,10
1,496,334,30,12,10
2,496,421,30,12,10
1,497,335,29,12,10
2,497,421,30,12,10
1,498,333,29,12,10
2,498,421,30,12,10
1,499,334,30,12,10
2,499,420,30,12,10
1,500,335,30,12,10
2,500,421,31,12,10
1,501,334,31,12,10
2,501,421,31,12,10
1,502,336,30,12,10
2,502,423,30,12,10
1,503,336,29,12,10
2,503,422,30,12,10
1,504,335,30,12,10
2,504,422,31,12,10
1,505,333,32,12,10
2,505,420,31,12,10
1,506,336,31,12,10
2,506,423,31,12,10
1,507,338,30,12,10
2,507,425,30,12,10
1,508,335,30,12,10
2,508,426,30,12,10
