counter,frame,x,y,w,h
2,433,407,18,9,9
1,434,325,16,8,8
2,434,408,20,9,9
1,435,326,17,8,8
2,435,409,21,9,9
1,436,325,17,8,8
2,436,408,21,9,9
1,437,325,17,8,8
2,437,411,20,9,9
1,438,325,16,8,8
2,438,411,20,9,9
1,439,323,16,8,8
2,439,411,20,9,9
1,440,325,15,8,8
2,440,412,20,9,9
1,441,325,16,8,8
2,441,411,21,9,9
1,442,323,16,8,8
2,442,409,21,9,9
1,443,326,15,8,8
2,443,410,20,9,9
1,444,327,15,8,8
2,444,411,19,9,9
1,445,326,17,8,8
2,445,410,22,9,9
1,446,326,19,8,8
2,446,410,23,9,9
1,447,326,18,8,8
2,447,410,21,9,9
1,448,328,16,8,8
2,448,412,20,9,9
1,449,328,19,8,8
2,449,412,23,9,9
1,450,326,20,8,8
2,450,410,24,9,9
1,451,327,17,8,8
2,451,411,22,9,9
1,452,328,18,8,8
2,452,411,22,9,9
1,453,328,20,8,8
2,453,412,24,9,9
1,454,328,20,8,8
2,454,412,23,9,9
1,455,328,19,8,8
2,455,413,23,9,9
1,456,327,21,8,8
2,456,413,24,9,9
1,457,329,20,8,8
2,457,414,24,9,9
1,458,328,20,8,8
2,458,413,23,9,9
1,459,327,20,8,8
2,459,412,23,9,9
1,460,327,19,8,8
2,460,412,21,9,9
1,461,329,20,8,8
2,461,414,22,9,9
1,462,328,20,8,8
2,462,413,22,9,9
1,463,329,21,8,8
2,463,414,22,9,9
1,464,329,23,8,8
2,464,414,24,9,9
1,465,328,23,8,8
2,465,413,23,9,9
1,466,329,22,8,8
2,466,415,22,9,9
1,467,330,24,8,8
2,467,415,25,9,9
1,468,330,24,8,8
2,468,415,25,9,9
1,469,330,23,8,8
2,469,415,24,9,9
1,470,329,25,8,8
2,470,415,25,9,9
1,471,329,23,8,8
2,471,415,24,9,9
1,472,328,24,8,8
2,472,417,25,9,9
1,473,329,26,8,8
2,473,419,26,9,9
1,474,331,27,8,8
2,474,420,27,9,9
1,475,330,27,8,8
2,475,418,27,9,9
1,476,329,25,8,8
2,476,418,26,9,9
1,477,329,26,8,8
2,477,419,26,9,9
1,478,330,29,8,8
2,478,419,29,9,9
1,479,332,28,8,8
2,479,418,29,9,9
1,480,333,26,8,8
2,480,418,26,9,9
1,481,331,27,8,8
2,481,417,27,9,9
1,482,332,28,8,8
2,482,419,28,9,9
1,483,334,27,8,8
2,483,421,27,9,9
1,484,332,27,8,8
2,484,419,27,9,9
1,485,333,28,8,8
2,485,419,27,9,9
1,486,335,28,8,8
2,486,421,29,9,9
1,487,333,29,8,8
2,487,419,29,9,9
1,488,333,27,8,8
2,488,419,28,9,9
1,489,335,27,8,8
2,489,422,28,9,9
1,490,333,29,8,8
2,490,420,29,9,9
1,491,334,29,8,8
2,491,421,29,9,9
1,492,334,28,8,8
2,492,421,30,9,9
1,493,333,28,8,8
2,493,420,29,9,9
1,494,335,29,8,8
2,494,422,29,9,9
1,495,336,29,8,8
2,495,423,29,9,9
1,496,335,30,8,8
2,496,422,30,9,9
1,497,336,30,8,8
2,497,423,29,9,9
1,498,335,30,8,8
2,498,422,30,9,9
1,499,335,30,8,8
2,499,422,31,9,9
1,500,337,30,8,8
2,500,423,31,9,9
1,501,336,31,8,8
2,501,423,31,9,9
1,502,337,30,8,8
2,502,424,30,9,9
1,503,337,29,8,8
2,503,424,29,9,9
1,504,336,30,8,8
2,504,424,30,9,9
1,505,335,32,8,8
2,505,422,31,9,9
1,506,338,31,8,8
2,506,425,30,9,9
1,507,340,30,8,8
2,507,427,29,9,9
1,508,336,30,8,8
2,508,427,30,9,9
1,509,335,31,8,8
2,509,425,30,9,9
1,510,335,32,8,8
2,510,425,30,9,9
1,511,335,33,8,8
2,511,426,30,9,9
1,512,338,30,8,8
2,512,428,28,9,9
1,513,338,31,8,8
2,513,430,30,9,9
1,514,338,33,8,8
2,514,426,32,9,9
1,515,339,33,8,8
2,515,426,32,9,9
1,516,339,31,8,8
2,516,427,31,9,9
1,517,339,34,8,8
2,517,426,32,9,9
1,518,340,35,8,8
2,518,427,33,9,9
1,519,339,33,8,8
2,519,427,32,9,9
1,520,340,34,8,8
2,520,427,33,9,9
1,521,342,36,8,8
2,521,429,34,9,9
1,522,341,36,8,8
2,522,428,34,9,9
1,523,340,35,8,8
2,523,428,33,9,9
1,524,341,35,8,8
2,524,430,33,9,9
1,525,341,34,8,8
2,525,429,32,9,9
1,526,340,34,8,8
2,526,428,33,9,9
1,527,342,36,8,8
2,527,430,34,9,9
1,528,342,38,8,8
2,528,431,36,9,9
1,529,340,36,8,8
2,529,429,34,9,9
1,530,341,36,8,8
2,530,429,33,9,9
1,531,342,38,8,8
2,531,430,35,9,9
1,532,343,38,8,8
2,532,430,36,9,9
1,533,343,37,8,8
2,533,431,34,9,9
1,534,343,39,8,8
2,534,431,35,9,9
1,535,341,40,8,8
2,535,430,36,9,9
1,536,342,38,8,8
2,536,430,34,9,9
1,537,344,39,8,8
2,537,432,35,9,9
1,538,344,39,8,8
2,538,433,36,9,9
1,539,344,37,8,8
2,539,433,34,9,9
1,540,342,39,8,8
2,540,432,35,9,9
1,541,342,40,8,8
2,541,431,36,9,9
1,542,344,39,8,8
2,542,433,34,9,9
1,543,343,38,8,8
2,543,433,33,9,9
1,544,341,39,8,8
2,544,434,34,9,9
1,545,340,40,8,8
2,545,433,35,9,9
1,546,340,42,8,8
2,546,433,37,9,9
1,547,342,41,8,8
2,547,434,35,9,9
1,548,343,37,8,8
2,548,435,31,9,9
1,549,341,37,8,8
2,549,433,32,9,9
1,550,342,38,8,8
2,550,431,34,9,9
1,551,344,39,8,8
2,551,433,35,9,9
1,552,343,38,8,8
2,552,432,34,9,9
1,553,343,38,8,8
2,553,432,35,9,9
1,554,343,39,8,8
2,554,432,35,9,9
1,555,344,40,8,8
2,555,433,37,9,9
1,556,344,40,8,8
2,556,433,38,9,9
1,557,344,39,8,8
2,557,433,36,9,9
1,558,345,41,8,8
2,558,435,39,9,9
1,559,345,42,8,8
2,559,434,41,9,9
1,560,345,41,8,8
2,560,435,39,9,9
1,561,346,40,8,8
2,561,436,40,9,9
1,562,346,42,8,8
2,562,436,42,9,9
1,563,345,41,8,8
2,563,435,42,9,9
1,564,344,42,8,8
2,564,434,43,9,9
1,565,346,44,8,8
2,565,436,45,9,9
1,566,346,39,8,8
2,566,437,41,9,9
1,567,346,39,8,8
2,567,436,40,9,9
1,568,346,44,8,8
2,568,436,46,9,9
1,569,345,43,8,8
2,569,436,45,9,9
1,570,346,40,8,8
2,570,437,42,9,9
1,571,346,40,8,8
2,571,437,41,9,9
1,572,347,42,8,8
2,572,437,45,9,9
1,573,347,43,8,8
2,573,437,45,9,9
1,574,345,42,8,8
2,574,435,44,9,9
1,575,347,42,8,8
2,575,437,44,9,9
1,576,346,43,8,8
2,576,436,44,9,9
1,577,346,44,8,8
2,577,436,46,9,9
1,578,348,43,8,8
2,578,439,44,9,9
1,579,348,45,8,8
2,579,439,46,9,9
1,580,344,45,8,8
2,580,439,46,9,9
1,581,346,42,8,8
2,581,440,44,9,9
1,582,345,45,8,8
2,582,440,45,9,9
1,583,344,46,8,8
2,583,439,47,9,9
1,584,346,44,8,8
2,584,441,45,9,9
1,585,345,45,8,8
2,585,440,46,9,9
1,586,345,47,8,8
2,586,437,48,9,9
1,587,348,46,8,8
2,587,439,46,9,9
1,588,349,46,8,8
2,588,440,47,9,9
1,589,346,48,8,8
2,589,437,48,9,9
1,590,349,46,8,8
2,590,438,46,9,9
1,591,348,48,8,8
2,591,440,48,9,9
1,592,347,50,8,8
2,592,439,50,9,9
1,593,347,48,8,8
2,593,439,49,9,9
1,594,349,47,8,8
2,594,439,47,9,9
1,595,348,50,8,8
2,595,439,50,9,9
1,596,350,49,8,8
2,596,442,50,9,9
1,597,349,51,8,8
2,597,441,51,9,9
1,598,346,52,8,8
2,598,438,51,9,9
1,599,347,50,8,8
2,599,439,49,9,9
1,600,348,51,8,8
2,600,440,50,9,9
1,601,347,50,8,8
2,601,439,49,9,9
1,602,348,51,8,8
2,602,440,50,9,9
1,603,347,52,8,8
2,603,439,52,9,9
1,604,346,50,8,8
2,604,438,50,9,9
1,605,350,51,8,8
2,605,442,51,9,9
1,606,349,52,8,8
2,606,441,52,9,9
1,607,349,52,8,8
2,607,441,52,9,9
1,608,348,53,8,8
2,608,440,53,9,9
1,609,349,53,8,8
2,609,441,53,9,9
1,610,350,52,8,8
2,610,442,53,9,9
1,611,350,53,8,8
2,611,443,53,9,9
1,612,347,54,8,8
2,612,440,54,9,9
1,613,348,53,8,8
2,613,440,54,9,9
1,614,348,53,8,8
2,614,441,54,9,9
1,615,350,53,8,8
2,615,443,54,9,9
1,616,349,51,8,8
2,616,445,52,9,9
1,617,348,52,8,8
2,617,444,53,9,9
1,618,349,54,8,8
2,618,446,56,9,9
1,619,348,53,8,8
2,619,444,54,9,9
1,620,350,53,8,8
2,620,446,55,9,9
1,621,348,55,8,8
2,621,445,57,9,9
1,622,350,55,8,8
2,622,443,57,9,9
1,623,350,55,8,8
2,623,443,56,9,9
1,624,352,55,8,8
2,624,444,57,9,9
1,625,351,57,8,8
2,625,444,59,9,9
1,626,350,55,8,8
2,626,443,56,9,9
1,627,349,58,8,8
2,627,443,59,9,9
1,628,352,58,8,8
2,628,445,59,9,9
1,629,352,57,8,8
2,629,446,58,9,9
1,630,349,58,8,8
2,630,443,59,9,9
1,631,351,59,8,8
2,631,445,60,9,9
1,632,352,60,8,8
2,632,446,62,9,9
1,633,352,57,8,8
2,633,445,59,9,9
1,634,351,58,8,8
2,634,445,59,9,9
1,635,352,61,8,8
2,635,446,61,9,9
1,636,351,59,8,8
2,636,445,60,9,9
1,637,351,57,8,8
2,637,444,58,9,9
1,638,353,59,8,8
2,638,446,60,9,9
1,639,353,60,8,8
2,639,447,61,9,9
1,640,351,60,8,8
2,640,446,60,9,9
1,641,352,59,8,8
2,641,447,59,9,9
1,642,351,61,8,8
2,642,446,62,9,9
1,643,350,62,8,8
2,643,444,62,9,9
1,644,354,61,8,8
2,644,448,62,9,9
1,645,353,64,8,8
2,645,447,65,9,9
1,646,351,64,8,8
2,646,445,64,9,9
1,647,353,62,8,8
2,647,447,63,9,9
1,648,354,61,8,8
2,648,448,61,9,9
1,649,351,62,8,8
