counter,frame,x,y,w,h
1,278,316,4,11,9
2,278,392,7,10,9
1,279,316,5,11,9
2,279,391,8,10,9
1,280,316,3,11,9
2,280,392,7,10,9
1,281,314,5,11,9
2,281,390,9,10,9
1,282,315,4,11,9
2,282,391,8,10,9
1,283,317,3,11,9
2,283,393,6,10,9
1,284,313,3,11,9
2,284,390,6,10,9
1,285,312,3,11,9
2,285,389,6,10,9
1,286,314,4,11,9
2,286,392,7,10,9
1,287,312,7,11,9
2,287,389,10,10,9
1,288,314,4,11,9
2,288,390,8,10,9
1,289,315,5,11,9
2,289,391,8,10,9
1,290,310,6,11,9
2,290,388,9,10,9
1,291,312,3,11,9
2,291,389,6,10,9
1,292,317,3,11,9
2,292,394,6,10,9
1,293,314,6,11,9
2,293,392,8,10,9
1,294,312,5,11,9
2,294,392,7,10,9
1,295,315,2,11,9
2,295,394,6,10,9
1,296,311,5,11,9
2,296,391,9,10,9
1,297,314,3,11,9
2,297,394,7,10,9
1,298,315,4,11,9
2,298,395,7,10,9
1,299,312,5,11,9
2,299,393,8,10,9
1,300,315,5,11,9
2,300,393,9,10,9
1,301,314,7,11,9
2,301,392,10,10,9
1,302,314,6,11,9
2,302,391,8,10,9
1,303,316,6,11,9
2,303,394,8,10,9
1,304,315,6,11,9
2,304,392,9,10,9
1,305,312,5,11,9
2,305,389,9,10,9
1,306,317,6,11,9
2,306,393,9,10,9
1,307,314,7,11,9
2,307,392,11,10,9
1,308,312,7,11,9
2,308,390,10,10,9
1,309,316,7,11,9
2,309,393,9,10,9
1,310,317,5,11,9
2,310,394,8,10,9
1,311,312,4,11,9
2,311,389,8,10,9
1,312,314,1,11,9
2,312,392,5,10,9
1,313,312,4,11,9
2,313,390,7,10,9
1,314,312,5,11,9
2,314,390,8,10,9
1,315,316,2,11,9
2,315,394,5,10,9
1,316,312,3,11,9
2,316,390,6,10,9
1,317,311,2,11,9
2,317,389,6,10,9
1,318,314,2,11,9
2,318,392,6,10,9
1,319,313,2,11,9
2,319,391,6,10,9
1,320,312,3,11,9
2,320,390,7,10,9
1,321,312,4,11,9
2,321,390,8,10,9
1,322,312,4,11,9
2,322,391,7,10,9
1,323,313,3,11,9
2,323,391,7,10,9
1,324,313,5,11,9
2,324,391,9,10,9
1,325,313,6,11,9
2,325,391,10,10,9
1,326,314,4,11,9
2,326,392,8,10,9
1,327,313,2,11,9
2,327,392,6,10,9
1,328,314,5,11,9
2,328,392,8,10,9
1,329,313,4,11,9
2,329,395,6,10,9
1,330,313,4,11,9
2,330,394,7,10,9
1,331,311,4,11,9
2,331,394,8,10,9
1,332,312,2,11,9
2,332,394,4,10,9
1,333,309,3,11,9
2,333,392,6,10,9
1,334,312,3,11,9
2,334,394,6,10,9
1,335,312,2,11,9
2,335,392,4,10,9
1,336,314,3,11,9
2,336,391,6,10,9
1,337,311,2,11,9
2,337,389,5,10,9
1,338,312,3,11,9
2,338,390,6,10,9
1,339,315,3,11,9
2,339,393,6,10,9
1,340,316,5,11,9
2,340,394,7,10,9
1,341,316,7,11,9
2,341,394,9,10,9
1,342,314,7,11,9
2,342,393,8,10,9
1,343,312,6,11,9
2,343,390,8,10,9
1,344,315,5,11,9
2,344,393,7,10,9
1,345,314,6,11,9
2,345,393,9,10,9
1,346,312,6,11,9
2,346,392,8,10,9
1,347,314,5,11,9
2,347,393,7,10,9
1,348,314,7,11,9
2,348,393,9,10,9
1,349,313,5,11,9
2,349,392,7,10,9
1,350,313,5,11,9
2,350,392,8,10,9
1,351,313,6,11,9
2,351,392,9,10,9
1,352,313,7,11,9
2,352,392,10,10,9
1,353,315,8,11,9
2,353,395,10,10,9
1,354,315,6,11,9
2,354,395,8,10,9
1,355,313,6,11,9
2,355,392,7,10,9
