counter,frame,x,y,w,h
2,489,420,28,11,10
1,490,332,28,9,8
2,490,418,29,11,10
1,491,333,29,9,8
2,491,419,30,11,10
1,492,333,28,9,8
2,492,419,30,11,10
1,493,332,28,9,8
2,493,418,30,11,10
1,494,334,28,9,8
2,494,419,30,11,10
1,495,335,29,9,8
2,495,420,30,11,10
1,496,334,29,9,8
2,496,420,31,11,10
1,497,335,29,9,8
2,497,421,30,11,10
1,498,334,29,9,8
2,498,420,31,11,10
1,499,334,29,9,8
2,499,420,31,11,10
1,500,335,30,9,8
2,500,420,31,11,10
1,501,335,31,9,8
2,501,420,32,11,10
1,502,335,30,9,8
2,502,421,31,11,10
1,503,336,29,9,8
2,503,422,30,11,10
1,504,336,31,9,8
2,504,421,31,11,10
1,505,334,31,9,8
2,505,420,32,11,10
1,506,336,31,9,8
2,506,423,31,11,10
1,507,338,30,9,8
2,507,425,30,11,10
1,508,335,31,9,8
2,508,425,31,11,10
1,509,334,30,9,8
2,509,424,30,11,10
1,510,333,31,9,8
2,510,424,31,11,10
1,511,334,31,9,8
2,511,425,32,11,10
1,512,336,29,9,8
2,512,426,29,11,10
1,513,337,31,9,8
2,513,427,31,11,10
1,514,336,33,9,8
2,514,424,33,11,10
1,515,337,32,9,8
2,515,423,32,11,10
1,516,338,31,9,8
2,516,424,31,11,10
1,517,338,33,9,8
2,517,424,33,11,10
1,518,337,34,9,8
2,518,425,34,11,10
1,519,338,33,9,8
2,519,424,32,11,10
1,520,338,34,9,8
2,520,425,33,11,10
1,521,340,35,9,8
2,521,427,34,11,10
1,522,339,35,9,8
2,522,426,35,11,10
1,523,339,35,9,8
2,523,425,33,11,10
1,524,340,34,9,8
2,524,427,33,11,10
1,525,339,34,9,8
2,525,426,33,11,10
1,526,338,35,9,8
2,526,427,34,11,10
1,527,341,36,9,8
2,527,428,34,11,10
1,528,340,38,9,8
2,528,428,36,11,10
1,529,339,36,9,8
2,529,426,34,11,10
1,530,340,36,9,8
2,530,426,34,11,10
1,531,341,38,9,8
2,531,428,35,11,10
1,532,341,38,9,8
2,532,429,36,11,10
1,533,341,37,9,8
2,533,429,35,11,10
1,534,341,38,9,8
2,534,429,36,11,10
1,535,340,39,9,8
2,535,427,37,11,10
1,536,341,38,9,8
2,536,428,35,11,10
1,537,342,38,9,8
2,537,429,35,11,10
1,538,342,39,9,8
2,538,430,36,11,10
1,539,343,37,9,8
2,539,430,34,11,10
1,540,341,38,9,8
2,540,428,36,11,10
1,541,341,40,9,8
2,541,429,36,11,10
1,542,342,39,9,8
2,542,431,35,11,10
1,543,342,38,9,8
2,543,431,34,11,10
1,544,340,39,9,8
2,544,431,35,11,10
1,545,340,40,9,8
2,545,431,35,11,10
1,546,339,41,9,8
2,546,432,37,11,10
1,547,341,40,9,8
2,547,433,36,11,10
1,548,341,36,9,8
2,548,433,32,11,10
1,549,339,36,9,8
2,549,431,32,11,10
1,550,340,37,9,8
2,550,429,35,11,10
1,551,343,39,9,8
2,551,432,36,11,10
1,552,342,38,9,8
2,552,430,35,11,10
1,553,341,37,9,8
2,553,429,34,11,10
1,554,341,38,9,8
2,554,430,36,11,10
1,555,342,39,9,8
2,555,430,38,11,10
1,556,342,40,9,8
2,556,431,39,11,10
1,557,342,38,9,8
2,557,431,37,11,10
1,558,343,40,9,8
2,558,432,39,11,10
1,559,343,42,9,8
2,559,432,41,11,10
1,560,344,40,9,8
2,560,433,41,11,10
1,561,344,40,9,8
2,561,433,41,11,10
1,562,345,42,9,8
2,562,434,43,11,10
1,563,344,40,9,8
2,563,433,42,11,10
1,564,344,41,9,8
2,564,432,43,11,10
1,565,344,43,9,8
2,565,433,45,11,10
1,566,345,40,9,8
2,566,434,42,11,10
1,567,345,39,9,8
2,567,434,41,11,10
1,568,344,44,9,8
2,568,434,47,11,10
1,569,344,43,9,8
2,569,434,46,11,10
1,570,346,39,9,8
2,570,435,42,11,10
1,571,344,38,9,8
2,571,434,42,11,10
1,572,345,41,9,8
2,572,435,45,11,10
1,573,346,42,9,8
2,573,435,46,11,10
1,574,344,41,9,8
2,574,433,44,11,10
1,575,346,41,9,8
2,575,435,45,11,10
1,576,345,41,9,8
2,576,434,45,11,10
1,577,344,43,9,8
2,577,433,46,11,10
1,578,346,42,9,8
2,578,436,45,11,10
1,579,346,44,9,8
2,579,436,47,11,10
1,580,344,44,9,8
2,580,437,47,11,10
1,581,344,41,9,8
2,581,438,44,11,10
1,582,345,44,9,8
2,582,438,46,11,10
1,583,342,46,9,8
2,583,437,47,11,10
1,584,344,43,9,8
2,584,438,45,11,10
1,585,344,45,9,8
2,585,437,46,11,10
1,586,344,47,9,8
2,586,434,48,11,10
1,587,346,45,9,8
2,587,437,47,11,10
1,588,347,46,9,8
2,588,438,47,11,10
1,589,345,47,9,8
2,589,435,48,11,10
1,590,346,45,9,8
2,590,437,46,11,10
1,591,347,47,9,8
2,591,438,48,11,10
1,592,346,49,9,8
2,592,437,51,11,10
1,593,346,48,9,8
2,593,436,49,11,10
1,594,346,46,9,8
2,594,437,47,11,10
1,595,347,50,9,8
2,595,437,51,11,10
1,596,348,49,9,8
2,596,439,50,11,10
1,597,347,51,9,8
2,597,439,51,11,10
1,598,345,52,9,8
2,598,436,52,11,10
1,599,346,49,9,8
2,599,437,49,11,10
1,600,347,50,9,8
2,600,438,51,11,10
1,601,346,49,9,8
2,601,437,50,11,10
1,602,348,50,9,8
2,602,438,51,11,10
1,603,346,52,9,8
2,603,437,52,11,10
1,604,345,50,9,8
2,604,436,51,11,10
1,605,348,51,9,8
