1,110,5,419,273,28,33
1,111,5,420,275,26,31
1,112,5,419,277,29,34
1,113,5,420,277,27,32
1,114,5,420,274,27,32
1,115,5,420,276,27,32
1,116,5,420,278,27,32
1,117,5,418,274,27,32
1,118,5,420,276,27,32
1,119,5,421,277,27,32
1,120,5,420,274,28,33
1,121,5,420,274,27,32
1,122,5,420,277,27,32
1,123,5,420,276,28,33
1,124,6,419,273,27,32
1,125,6,419,274,27,32
1,126,6,420,275,27,32
1,127,6,421,277,27,32
1,128,6,419,277,27,32
1,129,6,418,275,27,32
1,130,6,420,275,27,32
1,131,6,420,278,27,32
1,132,6,420,277,27,32
1,133,6,420,276,27,32
1,134,6,420,277,27,32
1,135,6,420,277,27,32
1,136,6,419,276,27,32
1,137,6,421,277,27,32
1,138,6,420,277,27,32
1,139,6,421,278,27,32
1,140,6,420,277,29,34
1,141,6,421,277,27,32
1,142,7,421,278,27,32
1,143,7,421,277,27,32
1,144,7,421,276,27,32
1,145,7,420,276,27,32
1,146,7,419,278,27,32
1,147,7,422,277,27,32
1,148,7,420,277,28,33
1,149,7,420,277,28,33
1,150,7,420,276,28,33
1,151,7,420,276,27,32
1,152,7,420,276,27,32
1,153,7,420,276,27,32
1,154,7,421,276,28,33
1,155,7,421,276,27,32
1,156,7,421,275,27,32
1,157,7,420,278,27,32
1,158,7,420,277,28,33
1,159,7,420,274,28,33
1,160,8,421,276,27,32
1,161,8,420,277,27,32
1,162,8,420,275,27,32
1,163,8,421,277,27,32
1,164,8,420,278,28,33
1,165,8,421,276,28,33
1,166,8,420,276,27,32
1,167,8,421,278,27,32
1,168,8,421,276,27,32
1,169,8,421,276,28,33
1,170,8,421,278,27,32
1,171,8,420,278,27,32
1,172,8,421,279,27,32
1,173,8,420,278,27,32
1,174,8,419,275,27,32
1,175,8,420,276,28,33
1,176,8,420,278,28,33
1,177,8,420,275,27,32
1,178,9,419,274,28,33
1,179,9,420,278,27,32
1,180,9,420,277,27,32
1,181,9,419,274,27,32
1,182,9,420,277,27,32
1,183,9,420,277,27,32
1,184,9,421,277,28,33
1,185,9,421,276,27,32
1,186,9,420,276,27,32
1,187,9,421,276,27,32
