x,y,w,h
659,413,12,8
660,414,12,8
658,414,12,8
659,413,12,8
657,411,12,8
656,410,12,8
655,409,12,8
655,409,12,8
653,408,12,8
653,408,12,8
653,409,12,8
653,407,12,8
654,407,12,8
653,406,12,8
652,407,12,8
651,406,12,8
650,405,12,8
651,405,12,8
649,405,12,8
649,404,12,8
649,404,12,8
648,404,12,8
648,403,12,8
647,403,12,8
647,403,12,8
646,403,12,8
646,404,12,8
646,405,12,8
645,404,12,8
644,404,12,8
644,406,12,8
644,404,12,8
643,404,12,8
644,405,12,8
643,406,12,8
645,408,12,8
644,408,12,8
643,407,12,8
641,408,12,8
642,408,12,8
640,408,12,8
641,409,12,8
640,408,12,8
641,409,12,8
640,408,12,8
639,408,12,8
639,408,12,8
637,406,12,8
637,405,12,8
637,407,12,8
638,407,12,8
637,407,12,8
639,407,12,8
638,405,12,8
637,405,12,8
638,406,12,8
637,404,12,8
637,404,12,8
637,404,12,8
635,401,12,8
634,402,12,8
636,401,12,8
634,402,12,8
633,402,12,8
633,402,12,8
630,401,12,8
630,402,12,8
629,402,12,8
628,402,12,8
627,402,12,8
630,401,12,8
628,401,12,8
628,402,12,8
628,403,12,8
627,402,12,8
626,402,12,8
627,402,12,8
629,403,12,8
630,403,12,8
629,403,12,8
630,403,12,8
631,404,12,8
630,405,12,8
631,406,12,8
633,406,12,8
635,408,12,8
636,407,12,8
637,406,12,8
639,408,12,8
638,406,12,8
641,407,12,8
641,407,12,8
642,408,12,8
644,409,12,8
643,410,12,8
645,411,12,8
648,411,12,8
649,412,12,8
650,412,12,8
652,411,12,8
652,411,12,8
653,412,12,8
652,411,12,8
653,412,12,8
653,412,12,8
652,411,12,8
654,411,12,8
653,410,12,8
654,409,12,8
654,409,12,8
653,408,12,8
654,408,12,8
654,408,12,8
654,407,12,8
653,408,12,8
654,407,12,8
654,407,12,8
654,407,12,8
653,407,12,8
654,407,12,8
655,407,12,8
654,408,12,8
655,407,12,8
655,407,12,8
655,406,12,8
656,406,12,8
657,406,12,8
656,404,12,8
656,404,12,8
657,403,12,8
657,403,12,8
657,403,12,8
657,402,12,8
658,402,12,8
659,402,12,8
658,403,12,8
657,403,12,8
658,403,12,8
659,403,12,8
660,403,12,8
662,402,12,8
662,403,12,8
664,401,12,8
665,401,12,8
666,401,12,8
665,399,12,8
667,399,12,8
665,399,12,8
666,399,12,8
666,400,12,8
666,400,12,8
668,400,12,8
668,399,12,8
669,397,12,8
670,397,12,8
669,396,12,8
671,396,12,8
671,396,12,8
671,396,12,8
671,395,12,8
670,393,12,8
671,391,12,8
670,391,12,8
670,390,12,8
671,390,12,8
670,390,12,8
670,390,12,8
669,390,12,8
671,390,12,8
672,389,12,8
673,388,12,8
674,388,12,8
675,387,12,8
675,387,12,8
676,386,12,8
676,385,12,8
679,385,12,8
679,384,12,8
681,385,12,8
682,384,12,8
682,385,12,8
681,385,12,8
683,385,12,8
