x,y,w,h
638,423,18,14
637,424,18,14
639,426,18,14
640,424,18,14
638,424,18,14
637,423,18,14
635,423,18,14
632,422,18,14
634,422,18,14
632,419,18,14
631,417,18,14
633,414,18,14
635,411,18,14
636,409,18,14
637,407,18,14
636,401,18,14
637,396,18,14
639,393,18,14
641,392,18,14
643,387,18,14
644,385,18,14
643,381,18,14
644,379,18,14
645,375,18,14
644,377,18,14
646,375,18,14
647,375,18,14
648,377,18,14
648,376,18,14
649,379,18,14
651,380,18,14
650,382,18,14
651,386,18,14
652,386,18,14
652,390,18,14
652,391,18,14
652,392,18,14
653,393,18,14
654,395,18,14
654,396,18,14
655,397,18,14
654,397,18,14
655,397,18,14
655,398,18,14
655,398,18,14
655,397,18,14
653,399,18,14
654,398,18,14
654,399,18,14
653,400,18,14
652,400,18,14
652,401,18,14
652,402,18,14
654,402,18,14
654,403,18,14
654,403,18,14
655,402,18,14
652,404,18,14
651,404,18,14
652,404,18,14
654,406,18,14
651,404,18,14
650,406,18,14
650,405,18,14
649,404,18,14
648,404,18,14
647,404,18,14
646,404,18,14
647,404,18,14
644,405,18,14
645,405,18,14
645,405,18,14
642,406,18,14
643,405,18,14
645,404,18,14
644,404,18,14
643,405,18,14
646,402,18,14
645,400,18,14
647,400,18,14
647,398,18,14
646,397,18,14
648,396,18,14
650,394,18,14
650,393,18,14
651,391,18,14
653,390,18,14
654,388,18,14
656,386,18,14
658,386,18,14
660,385,18,14
662,385,18,14
664,386,18,14
665,387,18,14
666,387,18,14
668,389,18,14
667,390,18,14
670,389,18,14
671,390,18,14
673,389,18,14
673,391,18,14
674,391,18,14
675,392,18,14
676,391,18,14
677,391,18,14
677,391,18,14
678,389,18,14
677,389,18,14
676,388,18,14
676,388,18,14
677,387,18,14
675,387,18,14
675,387,18,14
674,387,18,14
673,388,18,14
673,389,18,14
672,388,18,14
671,389,18,14
671,389,18,14
671,389,18,14
670,388,18,14
669,387,18,14
669,384,18,14
670,384,18,14
668,382,18,14
668,381,18,14
668,380,18,14
668,380,18,14
669,380,18,14
669,380,18,14
669,379,18,14
671,378,18,14
670,377,18,14
672,376,18,14
673,376,18,14
673,377,18,14
675,378,18,14
674,379,18,14
675,380,18,14
678,381,18,14
677,382,18,14
677,383,18,14
679,383,18,14
678,384,18,14
679,384,18,14
678,384,18,14
678,385,18,14
677,384,18,14
677,383,18,14
676,383,18,14
677,382,18,14
679,381,18,14
677,380,18,14
677,379,18,14
676,377,18,14
678,377,18,14
678,377,18,14
679,377,18,14
680,376,18,14
681,376,18,14
681,375,18,14
683,374,18,14
683,373,18,14
686,372,18,14
687,371,18,14
689,370,18,14
690,369,18,14
692,366,18,14
693,365,18,14
696,363,18,14
698,363,18,14
699,362,18,14
700,361,18,14
702,362,18,14
704,362,18,14
704,362,18,14
706,361,18,14
706,361,18,14
708,360,18,14
709,360,18,14
708,360,18,14
710,359,18,14
711,358,18,14
710,358,18,14
710,358,18,14
709,358,18,14
707,358,18,14
708,356,18,14
707,357,18,14
706,356,18,14
705,358,18,14
706,359,18,14
707,359,18,14
707,360,18,14
707,362,18,14
709,363,18,14
710,364,18,14
711,364,18,14
710,366,18,14
711,365,18,14
710,364,18,14
711,360,18,14
709,355,18,14
708,350,18,14
708,344,18,14
709,338,18,14
707,332,18,14
708,326,18,14
709,322,18,14
710,318,18,14
710,315,18,14
711,313,18,14
712,310,18,14
713,310,18,14
714,309,18,14
717,311,18,14
717,311,18,14
720,313,18,14
720,314,18,14
722,315,18,14
724,317,18,14
726,318,18,14
729,318,18,14
731,319,18,14
734,318,18,14
737,318,18,14
740,316,18,14
742,316,18,14
744,316,18,14
746,316,18,14
748,316,18,14
750,316,18,14
751,316,18,14
751,314,18,14
752,311,18,14
753,310,18,14
754,307,18,14
757,302,18,14
761,300,18,14
760,296,18,14
762,295,18,14
764,293,18,14
766,293,18,14
768,292,18,14
769,295,18,14
772,297,18,14
769,301,18,14
770,303,18,14
771,304,18,14
772,306,18,14
772,306,18,14
771,304,18,14
771,305,18,14
770,302,18,14
772,300,18,14
773,297,18,14
772,294,18,14
770,289,18,14
771,287,18,14
771,283,18,14
769,280,18,14
770,277,18,14
770,275,18,14
770,273,18,14
771,271,18,14
772,269,18,14
772,267,18,14
772,266,18,14
773,261,18,14
773,258,18,14
772,256,18,14
774,252,18,14
774,252,18,14
774,249,18,14
776,247,18,14
778,243,18,14
779,242,18,14
784,240,18,14
785,235,18,14
787,232,18,14
788,229,18,14
793,225,18,14
793,224,18,14
796,222,18,14
799,220,18,14
806,217,18,14
813,216,18,14
817,216,18,14
820,214,18,14
827,215,18,14
831,213,18,14
838,212,18,14
839,210,18,14
844,209,18,14
846,207,18,14
849,206,18,14
850,206,18,14
851,206,18,14
853,206,18,14
855,203,18,14
856,200,18,14
862,197,18,14
867,192,18,14
871,190,18,14
876,183,18,14
881,177,18,14
887,173,18,14
890,168,18,14
895,163,18,14
899,158,18,14
904,155,18,14
907,150,18,14
910,145,18,14
911,139,18,14
916,135,18,14
919,128,18,14
922,122,18,14
926,116,18,14
929,109,18,14
934,107,18,14
939,100,18,14
943,93,18,14
949,88,18,14
954,81,18,14
963,72,18,14
970,68,18,14
973,62,18,14
986,58,18,14
992,51,18,14
1000,41,18,14
1009,34,18,14
1012,25,18,14
1021,21,18,14
1028,13,18,14
1036,9,18,14
1044,2,18,14
1052,-5,18,14
