x,y,w,h
630,444,16,10
631,443,16,10
631,441,16,10
632,440,16,10
631,438,16,10
631,437,16,10
632,437,16,10
632,435,16,10
630,435,16,10
630,434,16,10
629,433,16,10
630,433,16,10
629,433,16,10
628,433,16,10
626,433,16,10
624,432,16,10
625,432,16,10
625,430,16,10
626,432,16,10
629,431,16,10
629,430,16,10
630,430,16,10
631,429,16,10
631,428,16,10
633,427,16,10
635,426,16,10
633,426,16,10
634,425,16,10
636,424,16,10
635,425,16,10
636,425,16,10
638,425,16,10
637,425,16,10
638,425,16,10
637,425,16,10
637,425,16,10
637,424,16,10
636,424,16,10
635,422,16,10
635,422,16,10
634,421,16,10
632,420,16,10
632,420,16,10
630,420,16,10
629,420,16,10
628,419,16,10
627,419,16,10
627,420,16,10
627,419,16,10
626,419,16,10
627,419,16,10
627,418,16,10
628,418,16,10
627,417,16,10
627,417,16,10
628,417,16,10
627,417,16,10
626,417,16,10
626,417,16,10
626,418,16,10
627,419,16,10
626,419,16,10
627,419,16,10
627,419,16,10
628,420,16,10
628,419,16,10
629,419,16,10
630,419,16,10
630,419,16,10
633,419,16,10
634,418,16,10
635,417,16,10
637,417,16,10
638,418,16,10
637,413,16,10
637,413,16,10
638,414,16,10
638,416,16,10
638,418,16,10
637,418,16,10
637,420,16,10
636,421,16,10
639,421,16,10
638,423,16,10
640,424,16,10
639,425,16,10
640,427,16,10
641,425,16,10
639,425,16,10
639,424,16,10
636,424,16,10
633,423,16,10
636,423,16,10
633,420,16,10
633,418,16,10
633,415,16,10
636,412,16,10
637,410,16,10
639,407,16,10
637,403,16,10
639,397,16,10
639,394,16,10
643,393,16,10
644,389,16,10
645,385,16,10
645,383,16,10
645,380,16,10
646,377,16,10
645,378,16,10
648,376,15,9
647,377,15,9
648,378,16,10
649,378,16,10
651,380,16,10
651,381,16,10
651,384,16,10
652,387,16,10
654,388,16,10
653,391,16,10
653,392,16,10
653,394,16,10
654,395,16,10
654,396,16,10
656,397,16,10
655,398,16,10
656,399,16,10
656,398,16,10
656,399,16,10
656,400,16,10
656,399,16,10
654,400,16,10
656,400,16,10
654,400,16,10
654,401,16,10
654,402,16,10
653,402,16,10
653,403,16,10
654,404,16,10
655,404,16,10
656,404,16,10
655,404,16,10
653,405,16,10
653,405,16,10
653,406,16,10
