x,y,w,h
641,423,6,10
641,422,6,10
641,421,6,10
640,420,6,10
638,420,6,10
639,419,6,10
638,419,6,10
638,418,6,10
639,418,6,10
638,416,6,10
638,415,6,10
639,415,6,10
637,413,6,10
638,413,6,10
638,412,6,10
638,412,6,10
638,412,6,10
637,411,6,10
638,410,6,10
637,410,6,10
635,409,6,10
636,409,6,10
635,409,6,10
634,409,6,10
634,409,6,10
632,409,6,10
632,408,6,10
632,407,6,10
631,407,6,10
630,407,6,10
630,404,6,10
630,406,6,10
630,406,6,10
628,406,6,10
629,407,6,10
628,408,6,10
631,408,6,10
632,407,6,10
632,408,6,10
633,408,6,10
632,409,6,10
631,408,6,10
631,407,6,10
630,405,6,10
631,406,6,10
633,408,6,10
635,408,6,10
635,409,6,10
635,408,6,10
635,408,6,10
635,407,6,10
635,407,6,10
636,406,6,10
637,405,6,10
637,405,6,10
637,405,6,10
636,405,6,10
637,406,6,10
637,406,6,10
638,406,6,10
638,407,6,10
638,409,6,10
640,409,6,10
639,409,6,10
640,409,6,10
639,408,6,10
641,407,6,10
641,408,6,10
642,407,6,10
641,408,6,10
642,408,6,10
643,408,6,10
643,408,6,10
643,408,6,10
644,410,6,10
646,410,6,10
645,410,6,10
645,411,6,10
645,412,6,10
645,412,6,10
646,411,6,10
646,412,6,10
646,413,6,10
645,414,6,10
647,412,6,10
647,412,6,10
649,412,6,10
649,413,6,10
650,414,6,10
649,413,6,10
650,413,6,10
650,412,6,10
651,413,6,10
652,412,6,10
653,409,6,10
654,408,6,10
654,408,6,10
654,407,6,10
654,406,6,10
654,407,6,10
654,405,6,10
655,404,6,10
656,404,6,10
658,402,6,10
658,401,6,10
657,400,6,10
658,399,6,10
658,398,6,10
658,398,6,10
658,399,6,10
659,399,6,10
660,399,6,10
660,399,6,10
662,399,6,10
662,399,6,10
662,398,6,10
663,397,6,10
663,396,6,10
663,396,6,10
664,394,6,10
665,394,6,10
667,392,6,10
667,392,6,10
667,392,6,10
667,392,6,10
667,392,6,10
668,390,6,10
667,389,6,10
667,390,6,10
668,389,6,10
667,388,6,10
668,387,6,10
667,388,6,10
667,386,6,10
668,387,6,10
668,386,6,10
668,385,6,10
669,387,6,10
669,386,6,10
668,385,6,10
669,387,6,10
669,384,6,10
669,385,6,10
670,384,6,10
670,384,6,10
671,385,6,10
672,385,6,10
671,385,6,10
672,385,6,10
673,385,6,10
671,384,6,10
671,384,6,10
671,382,6,10
674,381,6,10
674,380,6,10
676,380,6,10
677,380,6,10
676,381,6,10
678,380,6,10
679,381,6,10
681,382,6,10
681,384,6,10
683,383,6,10
682,383,6,10
683,385,6,10
683,386,6,10
682,386,6,10
683,387,6,10
681,387,6,10
682,387,6,10
680,389,6,10
682,389,6,10
681,390,6,10
681,391,6,10
682,391,6,10
681,390,6,10
681,391,6,10
680,391,6,10
680,390,6,10
681,391,6,10
683,389,6,10
682,389,6,10
682,389,6,10
682,389,6,10
682,388,6,10
682,387,6,10
683,386,6,10
685,385,6,10
686,384,6,10
685,382,6,10
685,381,6,10
686,381,6,10
685,382,6,10
686,381,6,10
687,380,6,10
688,380,6,10
688,378,6,10
689,376,6,10
690,374,6,10
689,371,6,10
691,368,6,10
691,363,6,10
691,359,6,10
693,355,6,10
693,352,6,10
694,351,6,10
695,349,6,10
697,350,6,10
699,350,6,10
701,350,6,10
702,350,6,10
704,351,6,10
706,352,6,10
708,353,6,10
710,352,6,10
712,352,6,10
713,350,6,10
715,349,6,10
715,349,6,10
716,350,6,10
717,351,6,10
718,354,6,10
717,355,6,10
718,356,6,10
716,358,6,10
715,360,6,10
714,362,6,10
713,362,6,10
711,361,6,10
711,363,6,10
709,363,6,10
708,364,6,10
708,364,6,10
708,364,6,10
709,366,6,10
709,367,6,10
710,367,6,10
711,367,6,10
712,367,6,10
713,366,6,10
712,366,6,10
714,366,6,10
714,365,6,10
715,363,6,10
717,360,6,10
717,360,6,10
718,359,6,10
720,357,6,10
722,356,6,10
725,354,6,10
728,352,6,10
729,350,6,10
732,347,6,10
734,343,6,10
736,339,6,10
736,333,6,10
738,327,6,10
738,321,6,10
741,316,6,10
741,310,6,10
741,305,6,10
744,301,6,10
747,297,6,10
748,292,6,10
749,296,6,10
750,297,6,10
753,295,6,10
754,296,6,10
757,298,6,10
758,297,6,10
759,297,6,10
761,298,6,10
763,299,6,10
764,301,6,10
766,305,6,10
767,307,6,10
767,309,6,10
767,310,6,10
769,313,6,10
771,314,6,10
773,313,6,10
775,314,6,10
776,315,6,10
777,317,6,10
779,318,6,10
780,319,6,10
781,321,6,10
782,321,6,10
785,323,6,10
786,322,6,10
785,323,6,10
786,322,6,10
787,323,6,10
787,322,6,10
788,321,6,10
788,320,6,10
789,318,6,10
791,316,6,10
793,314,6,10
794,308,6,10
791,305,6,10
793,301,6,10
793,296,6,10
794,293,6,10
796,289,6,10
796,285,6,10
797,283,6,10
796,280,6,10
796,278,6,10
794,275,6,10
796,272,6,10
796,270,6,10
796,268,6,10
796,265,6,10
798,263,6,10
799,262,6,10
802,261,6,10
803,258,6,10
806,257,6,10
807,253,6,10
810,253,6,10
811,252,6,10
815,251,6,10
818,251,6,10
821,251,6,10
825,250,6,10
829,248,6,10
834,246,6,10
838,244,6,10
843,242,6,10
847,238,6,10
849,240,6,10
850,247,6,10
846,251,6,10
847,252,6,10
