x,y,w,h
614,574,9,9
610,572,9,9
619,571,9,9
619,568,9,9
619,566,9,9
617,566,9,9
615,564,9,9
617,562,9,9
622,561,9,9
624,558,9,9
620,556,9,9
627,556,9,9
629,552,9,9
624,549,9,9
626,548,9,9
627,548,9,9
627,546,9,9
629,544,9,9
626,541,9,9
626,538,9,9
622,535,9,9
631,532,9,9
632,532,9,9
629,527,9,9
631,527,9,9
628,522,9,9
628,520,9,9
626,514,9,9
630,510,9,9
629,508,9,9
629,505,9,9
630,503,9,9
633,499,9,9
632,495,9,9
633,490,9,9
633,486,9,9
632,484,9,9
633,481,9,9
632,478,9,9
633,475,9,9
633,472,9,9
633,469,9,9
634,466,9,9
634,463,9,9
635,460,9,9
636,458,9,9
640,454,9,9
639,449,9,9
638,447,9,9
637,444,9,9
637,442,9,9
635,440,9,9
636,439,9,9
635,437,9,9
633,434,9,9
634,434,9,9
635,434,9,9
634,434,9,9
635,434,9,9
634,435,9,9
634,435,9,9
634,437,9,9
634,437,9,9
634,436,9,9
633,437,9,9
633,435,9,9
632,433,9,9
634,435,9,9
633,434,9,9
633,434,9,9
632,434,9,9
630,434,9,9
629,433,9,9
631,432,9,9
630,431,9,9
632,432,9,9
629,429,9,9
628,429,9,9
629,427,9,9
629,425,9,9
629,424,9,9
629,424,9,9
630,423,9,9
631,423,9,9
634,422,9,9
634,423,9,9
633,421,9,9
635,422,9,9
635,422,9,9
635,421,9,9
635,422,9,9
635,422,9,9
634,421,9,9
635,421,9,9
636,422,9,9
637,421,9,9
640,421,9,9
640,421,9,9
640,421,9,9
641,421,9,9
642,420,9,9
642,419,9,9
643,418,9,9
643,418,9,9
643,418,9,9
644,417,9,9
644,417,9,9
643,418,9,9
642,416,9,9
642,416,9,9
643,416,9,9
642,415,9,9
642,414,9,9
642,414,9,9
641,413,9,9
641,414,9,9
641,413,9,9
643,416,9,9
640,417,9,9
641,416,9,9
643,414,9,9
644,413,9,9
642,411,9,9
644,413,9,9
644,411,9,9
645,412,9,9
645,414,9,9
645,412,9,9
644,412,9,9
644,412,9,9
644,413,9,9
647,412,9,9
646,413,9,9
643,412,9,9
646,410,9,9
645,414,9,9
646,413,9,9
645,412,9,9
643,413,9,9
642,416,9,9
640,416,9,9
642,415,9,9
642,416,9,9
640,416,9,9
641,414,9,9
638,413,9,9
638,414,9,9
639,415,9,9
638,413,9,9
638,411,9,9
639,410,9,9
638,410,9,9
638,410,9,9
639,411,9,9
640,412,9,9
639,411,9,9
639,411,9,9
641,413,9,9
639,412,9,9
639,412,9,9
639,413,9,9
638,413,9,9
638,413,9,9
637,414,9,9
638,413,9,9
638,412,9,9
640,413,9,9
640,413,9,9
640,413,9,9
641,412,9,9
641,412,9,9
642,412,9,9
642,411,9,9
643,410,9,9
646,411,9,9
646,411,9,9
648,411,9,9
650,411,9,9
650,412,9,9
651,412,9,9
651,412,9,9
652,413,9,9
652,412,9,9
652,413,9,9
650,410,9,9
653,411,9,9
651,412,9,9
651,412,9,9
651,414,9,9
651,414,9,9
652,416,9,9
652,416,9,9
650,416,9,9
650,417,9,9
650,417,9,9
651,417,9,9
650,416,9,9
651,417,9,9
650,416,9,9
651,414,9,9
653,415,9,9
651,411,9,9
653,412,9,9
654,411,9,9
655,411,9,9
654,409,9,9
655,410,9,9
