x,y,w,h
679,384,7,17
680,383,7,17
681,384,7,17
681,385,7,17
681,384,7,17
681,384,7,17
681,384,7,17
683,386,7,17
683,384,7,17
683,385,7,17
684,384,7,17
684,383,7,17
685,381,7,17
684,381,7,17
681,379,7,17
680,378,7,17
678,377,7,17
678,376,7,17
677,376,7,17
675,376,7,17
673,376,7,17
673,376,7,17
672,376,7,17
670,376,7,17
669,377,7,17
669,377,7,17
667,378,7,17
667,378,7,17
666,379,7,17
665,379,7,17
665,379,7,17
666,379,7,17
667,378,7,17
669,379,7,17
666,380,7,17
667,381,7,17
667,380,7,17
666,382,7,17
665,382,7,17
663,381,7,17
667,382,7,17
667,381,7,17
669,383,7,17
669,382,7,17
668,382,7,17
669,382,7,17
669,382,7,17
670,383,7,17
670,382,7,17
670,381,7,17
673,382,7,17
673,382,7,17
676,382,7,17
676,381,7,17
679,383,7,17
680,384,7,17
680,384,7,17
684,385,7,17
686,386,7,17
687,385,7,17
687,385,7,17
690,385,7,17
690,384,7,17
691,382,7,17
692,382,7,17
695,379,7,17
693,378,7,17
694,377,7,17
695,375,7,17
694,376,7,17
698,377,7,17
699,376,7,17
699,377,7,17
703,375,7,17
705,374,7,17
706,372,7,17
706,370,7,17
708,369,7,17
708,368,7,17
710,366,7,17
708,365,7,17
708,365,7,17
709,365,7,17
707,365,7,17
707,366,7,17
707,365,7,17
704,366,7,17
704,365,7,17
703,365,7,17
700,365,7,17
701,365,7,17
699,368,7,17
699,367,7,17
701,366,7,17
697,365,7,17
697,365,7,17
697,366,7,17
698,367,7,17
698,367,7,17
699,366,7,17
699,361,7,17
697,362,7,17
698,359,7,17
694,356,7,17
694,353,7,17
693,352,7,17
694,349,7,17
695,347,7,17
696,348,7,17
698,349,7,17
699,349,7,17
701,346,7,17
701,345,7,17
705,345,7,17
706,343,7,17
709,340,7,17
711,340,7,17
713,338,7,17
714,337,7,17
716,335,7,17
716,335,7,17
718,334,7,17
720,335,7,17
722,338,7,17
724,340,7,17
725,341,7,17
728,341,7,17
730,341,7,17
731,340,7,17
733,335,7,17
735,335,7,17
735,333,7,17
739,333,7,17
742,331,7,17
745,329,7,17
749,328,7,17
752,329,7,17
753,325,7,17
755,325,7,17
755,323,7,17
751,322,7,17
752,321,7,17
751,318,7,17
753,316,7,17
752,314,7,17
752,311,7,17
752,310,7,17
752,310,7,17
755,309,7,17
754,309,7,17
756,310,7,17
757,310,7,17
758,309,7,17
760,307,7,17
762,307,7,17
764,305,7,17
767,305,7,17
770,306,7,17
773,305,7,17
776,305,7,17
777,306,7,17
777,305,7,17
779,303,7,17
780,301,7,17
781,300,7,17
782,299,7,17
781,299,7,17
781,298,7,17
783,297,7,17
782,294,7,17
780,293,7,17
781,293,7,17
779,289,7,17
778,285,7,17
777,283,7,17
776,279,7,17
776,276,7,17
776,274,7,17
774,272,7,17
776,271,7,17
778,267,7,17
780,263,7,17
780,259,7,17
781,256,7,17
784,253,7,17
786,250,7,17
789,248,7,17
790,246,7,17
793,245,7,17
795,243,7,17
799,240,7,17
802,240,7,17
804,238,7,17
808,236,7,17
812,235,7,17
817,235,7,17
821,235,7,17
826,235,7,17
831,236,7,17
834,236,7,17
838,234,7,17
841,232,7,17
843,232,7,17
846,230,7,17
849,229,7,17
850,227,7,17
851,225,7,17
854,222,7,17
856,220,7,17
859,217,7,17
860,215,7,17
863,213,7,17
866,210,7,17
868,206,7,17
870,203,7,17
872,199,7,17
875,196,7,17
879,193,7,17
882,189,7,17
886,185,7,17
890,181,7,17
895,176,7,17
898,171,7,17
903,166,7,17
909,158,7,17
915,148,7,17
920,137,7,17
927,127,7,17
933,118,7,17
939,111,7,17
946,104,7,17
950,98,7,17
957,94,7,17
963,87,7,17
969,81,7,17
974,71,7,17
979,63,7,17
988,55,7,17
994,48,7,17
1003,40,7,17
1011,35,7,17
1018,30,7,17
1026,23,7,17
1033,16,7,17
1041,9,7,17
1049,0,7,17
1057,-8,7,17
1064,-8,7,17
1061,-4,7,17
1058,-6,7,17
0,-7,7,17
0,-6,7,17
0,-6,7,17
0,-6,7,17
0,-6,7,17
0,-7,7,17
0,-6,7,17
0,-6,7,17
0,-6,7,17
0,-6,7,17
0,-6,7,17
0,-7,7,17
0,-7,7,17
0,-7,7,17
0,-6,7,17
0,-6,7,17
0,-6,7,17
0,-6,7,17
0,-6,7,17
0,-7,7,17
0,-7,7,17
0,-7,7,17
0,-7,7,17
0,-6,7,17
0,-6,7,17
0,-6,7,17
0,-6,7,17
0,-6,7,17
0,-6,7,17
0,-6,7,17
0,-6,7,17
0,-6,7,17
0,-7,7,17
0,-7,7,17
0,-7,7,17
0,-7,7,17
0,-7,7,17
0,-7,7,17
0,-7,7,17
0,-7,7,17
