x,y,w,h
638,414,16,16
640,414,16,16
644,413,16,16
645,412,16,16
644,413,16,16
646,412,16,16
649,412,16,16
650,410,16,16
651,410,16,16
653,408,16,16
652,407,16,16
654,407,16,16
654,407,16,16
655,407,16,16
655,406,16,16
656,406,16,16
656,405,16,16
655,407,16,16
654,407,16,16
654,407,16,16
653,407,16,16
653,408,16,16
652,407,16,16
648,407,16,16
648,406,16,16
646,407,16,16
644,407,16,16
643,407,16,16
642,408,16,16
640,409,16,16
640,409,16,16
638,410,16,16
636,411,16,16
635,411,16,16
635,411,16,16
632,411,16,16
632,412,16,16
631,411,16,16
629,410,16,16
626,410,16,16
626,410,16,16
623,410,16,16
623,408,16,16
623,407,16,16
622,407,16,16
621,406,16,16
620,405,16,16
621,404,16,16
621,401,16,16
622,402,16,16
624,399,16,16
626,398,16,16
626,396,16,16
628,393,16,16
631,390,16,16
631,389,16,16
633,387,16,16
635,386,16,16
638,384,16,16
641,383,16,16
642,383,16,16
644,381,16,16
646,380,16,16
646,381,16,16
649,378,16,16
650,377,16,16
653,377,16,16
654,377,16,16
655,378,16,16
655,377,16,16
657,378,16,16
659,377,16,16
659,376,16,16
660,376,16,16
663,375,16,16
666,375,16,16
670,375,16,16
669,373,16,16
669,375,16,16
670,373,16,16
671,372,16,16
673,372,16,16
673,372,16,16
672,371,16,16
673,369,16,16
673,367,16,16
675,366,16,16
673,365,16,16
674,361,16,16
677,362,16,16
676,364,16,16
676,363,16,16
676,364,16,16
676,366,16,16
676,366,16,16
678,366,16,16
676,367,16,16
675,371,16,16
674,370,16,16
670,371,16,16
673,375,16,16
676,377,16,16
676,379,16,16
673,382,16,16
676,384,16,16
675,384,16,16
674,385,16,16
672,389,16,16
674,392,16,16
672,391,16,16
672,393,16,16
668,394,16,16
669,392,16,16
669,395,16,16
669,394,16,16
666,397,16,16
666,397,16,16
665,395,16,16
665,396,16,16
660,395,16,16
665,394,16,16
666,392,16,16
663,390,16,16
665,387,16,16
661,387,16,16
664,385,16,16
666,384,16,16
665,380,16,16
668,378,16,16
666,374,16,16
667,372,16,16
669,369,16,16
672,368,16,16
670,365,16,16
671,364,16,16
674,362,16,16
675,363,16,16
674,362,16,16
675,361,16,16
675,365,16,16
678,366,16,16
678,365,16,16
679,367,16,16
681,366,16,16
679,366,16,16
681,367,16,16
684,367,16,16
682,368,16,16
684,367,16,16
686,368,16,16
687,368,16,16
688,366,16,16
689,367,16,16
691,366,16,16
693,366,16,16
695,364,16,16
696,366,16,16
695,365,16,16
696,365,16,16
698,367,16,16
696,366,16,16
695,366,16,16
695,366,16,16
696,367,16,16
694,368,16,16
694,367,16,16
694,367,16,16
693,368,16,16
693,368,16,16
693,370,16,16
692,370,16,16
691,371,16,16
693,371,16,16
691,372,16,16
690,373,16,16
688,372,16,16
686,374,16,16
687,375,16,16
685,375,16,16
682,377,16,16
686,376,16,16
683,374,16,16
684,374,16,16
684,374,16,16
685,374,16,16
682,372,16,16
679,369,16,16
677,368,16,16
675,364,16,16
672,362,16,16
671,360,16,16
673,356,16,16
669,355,16,16
664,351,16,16
669,349,16,16
666,346,16,16
663,344,16,16
664,341,16,16
663,339,16,16
662,338,16,16
660,335,16,16
661,333,16,16
662,332,16,16
662,332,16,16
661,331,16,16
665,330,16,16
665,328,16,16
669,328,16,16
671,327,16,16
674,327,16,16
676,324,16,16
682,323,16,16
684,322,16,16
688,322,16,16
690,320,16,16
693,321,16,16
695,322,16,16
697,323,16,16
701,326,16,16
704,327,16,16
707,329,16,16
709,330,16,16
713,329,16,16
714,331,16,16
716,333,16,16
719,337,16,16
720,341,16,16
727,342,16,16
726,343,16,16
730,343,16,16
730,345,16,16
735,344,16,16
739,345,16,16
741,345,16,16
739,347,16,16
738,346,16,16
740,346,16,16
741,347,16,16
743,346,16,16
742,345,16,16
744,345,16,16
744,345,16,16
744,341,16,16
743,344,16,16
743,341,16,16
744,342,16,16
741,340,16,16
736,340,16,16
738,342,16,16
737,342,16,16
737,343,16,16
734,341,16,16
734,341,16,16
731,340,16,16
727,339,16,16
726,338,16,16
724,338,16,16
724,336,16,16
722,335,16,16
722,332,16,16
720,329,16,16
721,327,16,16
721,322,16,16
722,321,16,16
722,316,16,16
721,314,16,16
723,311,16,16
719,308,16,16
721,302,16,16
721,299,16,16
720,292,16,16
720,289,16,16
720,283,16,16
722,279,16,16
726,274,16,16
730,272,16,16
736,270,16,16
742,266,16,16
748,266,16,16
753,263,16,16
760,261,16,16
764,259,16,16
768,256,16,16
772,254,16,16
777,253,16,16
782,250,16,16
787,251,16,16
795,251,16,16
803,251,16,16
812,251,16,16
821,251,16,16
832,251,16,16
840,248,16,16
847,243,16,16
855,238,16,16
862,232,16,16
870,226,16,16
876,220,16,16
882,214,16,16
889,211,16,16
896,207,16,16
901,206,16,16
906,204,16,16
911,203,16,16
914,202,16,16
917,201,16,16
921,200,16,16
925,200,16,16
928,199,16,16
932,200,16,16
935,197,16,16
938,195,16,16
939,193,16,16
941,191,16,16
943,189,16,16
943,187,16,16
944,186,16,16
945,184,16,16
944,179,16,16
943,175,16,16
941,168,16,16
940,161,16,16
939,155,16,16
937,147,16,16
935,140,16,16
935,136,16,16
935,130,16,16
934,123,16,16
934,117,16,16
937,112,16,16
940,107,16,16
946,105,16,16
950,97,16,16
959,90,16,16
965,81,16,16
974,73,16,16
982,65,16,16
991,61,16,16
998,54,16,16
1005,47,16,16
1011,42,16,16
1018,33,16,16
1021,24,16,16
1026,13,16,16
1031,5,16,16
1033,-2,16,16
1035,-8,16,16
