x,y,w,h
755,280,18,31
755,278,18,31
754,274,18,32
753,270,19,33
752,268,19,33
750,266,19,33
751,265,18,31
749,265,17,30
749,263,19,32
750,265,18,31
751,263,17,30
753,263,18,31
755,263,18,31
756,261,18,31
759,261,18,31
761,261,17,30
762,260,17,30
762,260,18,31
764,261,18,31
768,262,17,30
770,263,18,31
772,263,18,31
775,264,17,30
777,263,18,31
781,262,17,30
783,259,18,31
785,259,17,30
786,255,17,30
786,252,17,30
786,249,17,30
786,247,17,30
786,245,17,30
786,245,17,30
787,245,17,30
786,245,18,31
788,246,17,30
787,245,18,31
788,244,18,31
788,240,17,30
789,238,17,30
787,233,17,30
787,228,17,30
791,225,17,30
791,220,18,31
795,219,17,30
794,216,17,30
793,213,18,31
796,213,17,30
798,212,17,30
802,212,17,30
804,212,17,30
807,211,17,30
813,212,18,31
819,211,17,30
823,211,17,30
827,209,17,30
833,209,17,30
837,209,18,31
842,209,18,31
848,209,19,32
853,211,18,31
857,210,19,32
862,210,18,31
868,208,18,31
871,207,18,31
874,204,18,32
876,204,19,32
880,200,20,34
880,196,20,34
883,191,20,34
886,186,20,34
887,182,19,33
889,176,20,34
892,169,20,34
893,162,19,34
899,153,20,34
904,146,20,35
907,139,19,34
909,131,20,34
916,123,20,34
919,113,21,36
928,104,20,35
931,93,20,34
939,84,20,34
948,75,20,34
952,67,21,37
962,62,21,37
969,54,22,38
975,46,23,40
984,37,24,42
993,28,23,40
1001,20,23,40
1010,8,25,44
1015,1,27,46
1022,-8,27,46
1029,-19,27,47
1032,-23,27,47
1062,-24,28,48
1069,-23,27,46
1072,-23,26,46
1075,-23,26,46
-8,-23,26,46
-7,-23,26,46
-7,-23,26,46
-7,-23,27,46
-7,-23,27,46
-7,-23,26,46
-7,-23,27,46
-7,-23,26,46
-6,-23,27,46
