x,y,w,h
659,397,8,12
659,397,8,12
659,395,8,12
660,397,8,12
660,396,8,12
658,397,8,12
658,396,8,12
658,396,8,12
657,396,8,12
659,395,8,12
657,393,8,12
658,391,8,12
660,388,8,12
661,387,8,12
659,389,8,12
661,390,8,12
660,389,8,12
662,388,8,12
661,389,8,12
661,390,8,12
662,389,8,12
661,390,8,12
661,390,8,12
662,393,8,12
664,391,8,12
666,392,8,12
666,391,8,12
668,392,8,12
671,391,8,12
671,391,8,12
674,391,8,12
674,389,8,12
675,390,8,12
676,390,8,12
678,389,8,12
678,389,8,12
679,389,8,12
678,390,8,12
679,388,8,12
678,388,8,12
679,388,8,12
677,387,8,12
679,386,8,12
678,386,8,12
677,384,8,12
676,383,8,12
676,384,8,12
675,384,8,12
676,384,8,12
677,385,8,12
676,384,8,12
677,384,8,12
677,384,8,12
679,385,8,12
678,383,8,12
680,384,8,12
680,382,8,12
680,380,8,12
678,381,8,12
679,379,8,12
679,380,8,12
678,380,8,12
679,380,8,12
679,382,8,12
679,380,8,12
681,379,8,12
681,379,8,12
681,378,8,12
685,378,8,12
687,376,8,12
688,374,8,12
689,375,8,12
691,376,8,12
691,376,8,12
694,376,8,12
695,376,8,12
697,377,8,12
698,375,8,12
701,376,8,12
700,374,8,12
700,373,8,12
702,372,8,12
702,372,8,12
702,372,8,12
703,370,8,12
704,371,8,12
705,371,8,12
705,371,8,12
705,370,8,12
705,369,8,12
705,368,8,12
705,367,8,12
706,365,8,12
707,365,8,12
709,364,8,12
708,363,8,12
709,363,8,12
710,363,8,12
711,362,8,12
712,363,8,12
713,363,8,12
713,362,8,12
713,363,8,12
714,362,8,12
713,362,8,12
713,363,8,12
713,363,8,12
712,365,8,12
714,366,8,12
714,366,8,12
715,366,8,12
714,366,8,12
714,365,8,12
715,367,8,12
715,366,8,12
716,366,8,12
717,367,8,12
718,366,8,12
718,365,8,12
720,366,8,12
723,366,8,12
725,366,8,12
727,366,8,12
729,366,8,12
732,366,8,12
735,363,8,12
735,361,8,12
739,359,8,12
742,357,8,12
742,356,8,12
745,356,8,12
745,352,8,12
746,352,8,12
746,350,8,12
744,350,8,12
745,351,8,12
745,350,8,12
744,348,8,12
743,346,8,12
741,345,8,12
738,345,8,12
738,343,8,12
735,342,8,12
731,341,8,12
730,339,8,12
728,337,8,12
727,335,8,12
727,333,8,12
724,332,8,12
724,332,8,12
723,332,8,12
722,331,8,12
721,329,8,12
720,330,8,12
720,329,8,12
719,328,8,12
720,326,8,12
720,325,8,12
720,323,8,12
719,321,8,12
721,317,8,12
722,314,8,12
722,310,8,12
722,308,8,12
724,307,8,12
725,306,8,12
727,304,8,12
729,302,8,12
731,299,8,12
733,295,8,12
734,292,8,12
737,289,8,12
739,289,8,12
740,288,8,12
743,286,8,12
743,287,8,12
745,286,8,12
746,285,8,12
748,284,8,12
747,281,8,12
750,282,8,12
750,280,8,12
753,278,8,12
754,276,8,12
756,275,8,12
759,274,8,12
761,274,8,12
764,275,8,12
765,275,8,12
771,273,8,12
773,271,8,12
777,269,8,12
780,267,8,12
783,263,8,12
785,263,8,12
790,261,8,12
793,260,8,12
797,259,8,12
800,258,8,12
805,256,8,12
808,256,8,12
810,255,8,12
815,255,8,12
818,255,8,12
821,254,8,12
822,253,8,12
825,252,8,12
827,251,8,12
828,250,8,12
831,249,8,12
832,247,8,12
834,246,8,12
837,243,8,12
842,242,8,12
846,240,8,12
850,236,8,12
853,236,8,12
858,233,8,12
861,230,8,12
865,226,8,12
869,221,8,12
872,216,8,12
874,212,8,12
876,209,8,12
879,206,8,12
881,203,8,12
881,199,8,12
884,194,8,12
886,190,8,12
887,183,8,12
888,176,8,12
889,170,8,12
892,164,8,12
895,160,8,12
899,155,8,12
900,149,8,12
903,143,8,12
905,139,8,12
909,134,8,12
912,129,8,12
916,123,8,12
920,119,8,12
925,114,8,12
931,107,8,12
936,102,8,12
943,97,8,12
945,93,8,12
949,87,8,12
953,82,8,12
958,74,8,12
964,66,8,12
972,59,8,12
979,52,8,12
985,46,8,12
992,42,8,12
998,37,8,12
1004,32,8,12
1001,29,8,12
1010,22,8,12
1017,16,8,12
1016,16,8,12
1014,10,8,12
1018,11,8,12
1025,2,8,12
1022,-5,8,12
1021,-5,8,12
1020,-6,8,12
1020,-6,8,12
1020,-6,8,12
1022,-6,8,12
1023,-6,8,12
1024,-6,8,12
1026,-6,8,12
1027,-6,8,12
1026,-6,8,12
1022,-6,8,12
1022,-6,8,12
1022,-6,8,12
1022,-6,8,12
1021,-6,8,12
1022,-6,8,12
1023,-6,8,12
1028,-6,8,12
1034,-6,8,12
1035,-6,8,12
1034,-6,8,12
1040,-6,8,12
1046,-6,8,12
1046,-6,8,12
1046,-6,8,12
1046,-6,8,12
1045,-6,8,12
1044,-6,8,12
1045,-6,8,12
1049,-6,8,12
1050,-6,8,12
1050,-6,8,12
1052,-6,8,12
1052,-6,8,12
1052,-6,8,12
1059,-6,8,12
1059,-6,8,12
1058,-6,8,12
1059,-6,8,12
1058,-6,8,12
