x,y,w,h
996,91,10,9
1000,86,10,9
1005,79,10,9
1008,71,10,9
1013,64,10,9
1020,58,10,9
1026,53,10,9
1035,48,10,9
1042,45,10,9
1050,43,10,9
1059,42,10,9
1068,40,10,9
1076,38,10,9
1085,36,10,9
1092,34,10,9
1100,32,10,9
1110,25,10,9
1116,20,10,9
1127,12,10,9
1136,8,10,9
1145,4,10,9
1153,2,10,9
1160,2,10,9
1168,-1,10,9
1172,-4,9,8
1171,-1,10,9
-3,-1,10,9
-2,-1,10,9
-2,-1,10,9
-3,-1,10,9
-2,-1,10,9
-2,0,10,9
-2,0,10,9
-3,0,10,9
-2,0,10,9
-2,0,10,9
-2,0,10,9
-2,0,10,9
-3,0,10,9
-2,0,10,9
-2,0,10,9
-2,-1,10,9
-2,-1,10,9
-3,-1,10,9
-2,-1,10,9
-2,-1,10,9
-2,0,10,9
-2,0,10,9
-2,0,10,9
-2,0,10,9
-2,0,10,9
-3,0,10,9
-2,0,10,9
-2,0,10,9
-2,0,10,9
-2,0,10,9
-2,0,10,9
-2,0,10,9
