0.024	6368.587165525848
0.024	6368.5891535401925
0.024	6368.594303225286
0.0241	6368.597602448161
0.0241	6368.598428315241
0.0241	6368.599083777698
0.0241	6368.599287950935
0.0241	6368.6046460344505
0.0242	6368.6161553644
0.0242	6368.6337317861335
0.0293	6369.688710940856
0.0293	6369.688745946372
0.0293	6369.688777137184
0.0293	6369.690285515894
0.0293	6369.690670352176
0.0293	6369.691638164937
0.0293	6369.697107103633
0.0293	6369.697107103633
0.0293	6369.697766149791
0.0293	6369.698289437377
0.0293	6369.699179609698
0.0293	6369.702717635155
0.0361	6371.358141203569
0.039	6372.149450974032
0.039	6372.1513429576835
0.039	6372.153069812584
0.0391	6372.156100951013
0.0391	6372.156100951013
0.0391	6372.162039379961
0.0391	6372.162039379961
0.0391	6372.163043982422
0.0391	6372.1659688844475
0.0391	6372.1659688844475
0.0391	6372.166689101957
0.0392	6372.189009641907
0.0392	6372.189561038419
0.0392	6372.18959701128
0.0392	6372.189682727863
0.0392	6372.190232438147
0.0392	6372.190595539214
0.0392	6372.190883041065
0.0392	6372.190883041065
0.0392	6372.1934961321795
0.0393	6372.223630834724
0.0393	6372.223630834724
0.0393	6372.22628508038
0.0393	6372.2278826968895
0.0393	6372.2282924504625
0.0394	6372.247106449167
0.0394	6372.247456373853
0.0394	6372.250186068605
0.0394	6372.25022247206
0.0394	6372.256081452981
0.0394	6372.257051365196
0.0394	6372.258708145708
0.0396	6372.321648141719
0.0402	6372.492503220103
0.0403	6372.515477944632
0.0403	6372.517143842472
0.0403	6372.518006683278
0.0403	6372.518151256538
0.0403	6372.51815298107
0.0403	6372.518193794992
0.0403	6372.518224549145
0.0403	6372.518870961195
0.0403	6372.519770879438
0.04040000000000001	6372.539255019999
0.04040000000000001	6372.5395372632065
0.04040000000000001	6372.539617040113
0.04040000000000001	6372.539793010113
0.04040000000000001	6372.539952275923
0.04040000000000001	6372.5408609262495
0.04040000000000001	6372.541072032648
0.04040000000000001	6372.542800916296
0.04040000000000001	6372.54360991749
0.04040000000000001	6372.5441035551
0.04040000000000001	6372.544133795444
0.04040000000000001	6372.544761642579
0.04040000000000001	6372.545127118733
0.04040000000000001	6372.545494610909
0.04040000000000001	6372.546151834378
0.04040000000000001	6372.547101957176
0.04040000000000001	6372.548757687992
0.04040000000000001	6372.549546528958
0.04040000000000001	6372.550438475094
0.04040000000000001	6372.552665316401
0.04040000000000001	6372.552794053864
0.04040000000000001	6372.55289312699
0.0405	6372.552924827119
0.0405	6372.552976772367
0.0405	6372.553033912141
0.0405	6372.553036220818
0.0405	6372.55376201137
0.0405	6372.554884605901
0.0405	6372.55489066618
0.0405	6372.555126151306
0.0405	6372.555885706269
0.0405	6372.55618468003
0.0405	6372.560488632432
0.0405	6372.569641096586
0.0405	6372.570993981718
0.0405	6372.571259191068
0.0405	6372.571299015759
0.0405	6372.572318874132
0.0405	6372.572513957398
0.0405	6372.572926922121
0.0405	6372.5740573084395
0.0405	6372.574933451627
0.0405	6372.575855191199
0.0405	6372.578558364199
0.0405	6372.5798226538245
0.0405	6372.5802206121425
0.0405	6372.580263899849
0.0405	6372.5803686561
0.0405	6372.581656032503
0.0406	6372.58207566527
0.0437	6373.534000425024
0.0438	6373.538562086351
0.0438	6373.548948941265
0.0438	6373.549802634281
0.0438	6373.550645244373
0.0438	6373.552884918622
0.0438	6373.553810034928
0.0439	6373.596277025377
0.044	6373.599606369088
0.044	6373.599606369088
0.044	6373.611878980061
0.044	6373.614883703866
0.044	6373.617374815519
0.044	6373.617374815519
0.044	6373.621268008001
0.0441	6373.629330253869
0.0441	6373.634773056941
0.0441	6373.634873373695
0.0441	6373.638881709128
0.0441	6373.638881709128
0.0441	6373.6396743353225
0.0441	6373.641466413608
0.0441	6373.642222195069
0.0441	6373.642322202202
0.0441	6373.643547366987
0.0441	6373.644331943072
0.0441	6373.644461054449
0.0441	6373.651015082291
0.0441	6373.652790750738
0.0441	6373.652927602605
0.0441	6373.656394722965
0.0441	6373.6577821284245
0.0442	6373.6600914001065
0.0442	6373.661839415353
0.0442	6373.666201232988
0.0442	6373.668885142111
0.0442	6373.670789501578
0.0442	6373.676015555322
0.0442	6373.680104080778
0.0442	6373.688508203058
0.0442	6373.689393533228
0.0443	6373.691676917162
0.0443	6373.699802318727
0.0443	6373.699802318727
0.0443	6373.703989337158
0.0443	6373.705547658894
0.0443	6373.708923504663
0.0443	6373.709206016521
0.0443	6373.7143322547945
0.0443	6373.714398764738
0.0443	6373.7184596007555
0.0443	6373.718525489109
0.0443	6373.718660373759
0.0444	6373.722045389397
0.0444	6373.722054419464
0.0444	6373.723730275322
0.0444	6373.727317391538
0.0444	6373.7274562677385
0.0444	6373.727631575589
0.0444	6373.730972077566
0.0444	6373.735168878986
0.0444	6373.737429509519
0.0444	6373.7375428524265
0.0444	6373.738435272138
0.0444	6373.740618991411
0.0444	6373.741808469184
0.0444	6373.74742050005
0.0444	6373.752167512786
0.0445	6373.7547756848535
0.0445	6373.764429261782
0.0445	6373.76732839216
0.0445	6373.767492799962
0.0445	6373.768259308446
0.0445	6373.769056701887
0.0445	6373.769625109887
0.0445	6373.7729238728925
0.0445	6373.773134764116
0.0445	6373.773770869447
0.0445	6373.774044466491
0.0445	6373.774047898154
0.0445	6373.779997775971
0.0445	6373.780937427397
0.0445	6373.781910147564
0.0445	6373.781965678094
0.0445	6373.782015593176
0.0446	6373.786481168233
0.0446	6373.7905703523775
0.0446	6373.7913970658265
0.0446	6373.793784689283
0.0446	6373.795116807514
0.0446	6373.797165619107
